Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Middle Tennessee,2393,45.3,50.0,50.0,41,12,15,8,4,19,0,19,0,0,0,17,330312229,2013,2,2013-02-01,,66.0,True,24.0,53.0,10.0,20.0,8.0,16.0,Florida International,64.0,2.0,home,2229.0,0,1,1,24.0,53.0,8.0,16.0,10.0,20.0,23.0,54.0,42.6,9.0,20.0,45.0,9.0,15.0,60.0,8,31,13,14,3,16,16
Florida International,2229,42.6,45.0,60.0,31,8,13,14,3,16,0,16,0,0,0,16,330312229,2013,2,2013-02-01,,64.0,False,23.0,54.0,9.0,15.0,9.0,20.0,Middle Tennessee,66.0,17.0,away,2393.0,0,0,0,23.0,54.0,9.0,20.0,9.0,15.0,24.0,53.0,45.3,8.0,16.0,50.0,10.0,20.0,50.0,12,41,15,8,4,19,17
CSU Northridge,2463,53.2,27.3,69.7,52,16,17,5,4,21,2,21,0,0,0,20,330312239,2013,2,2013-02-01,,92.0,True,33.0,62.0,23.0,33.0,3.0,11.0,CSU Fullerton,86.0,14.0,home,2239.0,0,1,1,33.0,62.0,3.0,11.0,23.0,33.0,30.0,63.0,47.6,9.0,26.0,34.6,17.0,24.0,70.8,7,30,14,9,1,13,23
CSU Fullerton,2239,47.6,34.6,70.8,30,7,14,9,1,13,0,13,0,0,0,23,330312239,2013,2,2013-02-01,,86.0,False,30.0,63.0,17.0,24.0,9.0,26.0,CSU Northridge,92.0,0.0,away,2463.0,0,0,0,30.0,63.0,9.0,26.0,17.0,24.0,33.0,62.0,53.2,3.0,11.0,27.3,23.0,33.0,69.7,16,52,17,5,4,21,20
Drexel,2182,44.2,25.0,53.3,41,14,12,8,4,16,0,16,0,0,0,16,330312244,2013,2,2013-02-01,,58.0,True,23.0,52.0,8.0,15.0,4.0,16.0,George Mason,54.0,4.0,home,2244.0,0,1,1,23.0,52.0,4.0,16.0,8.0,15.0,20.0,49.0,40.8,4.0,11.0,36.4,10.0,15.0,66.7,7,34,8,10,4,12,15
George Mason,2244,40.8,36.4,66.7,34,7,8,10,4,12,0,12,0,0,0,15,330312244,2013,2,2013-02-01,,54.0,False,20.0,49.0,10.0,15.0,4.0,11.0,Drexel,58.0,20.0,away,2182.0,0,0,0,20.0,49.0,4.0,11.0,10.0,15.0,23.0,52.0,44.2,4.0,16.0,25.0,8.0,15.0,53.3,14,41,12,8,4,16,16
Penn State,213,39.7,30.4,87.5,37,13,10,8,4,18,1,18,0,0,0,26,330312294,2013,2,2013-02-01,,67.0,False,23.0,58.0,14.0,16.0,7.0,23.0,Iowa,76.0,7.0,home,2294.0,0,1,0,23.0,58.0,7.0,23.0,14.0,16.0,20.0,50.0,40.0,5.0,21.0,23.8,31.0,39.0,79.5,14,40,18,11,6,14,15
Iowa,2294,40.0,23.8,79.5,40,14,18,11,6,14,1,14,1,1,0,15,330312294,2013,2,2013-02-01,,76.0,True,20.0,50.0,31.0,39.0,5.0,21.0,Penn State,67.0,15.0,away,213.0,0,0,1,20.0,50.0,5.0,21.0,31.0,39.0,23.0,58.0,39.7,7.0,23.0,30.4,14.0,16.0,87.5,13,37,10,8,4,18,26
Northwestern State,2466,49.3,33.3,69.2,41,12,22,15,7,17,1,17,0,0,0,18,330312320,2013,2,2013-02-01,,85.0,True,35.0,71.0,9.0,13.0,6.0,18.0,Lamar,63.0,29.0,home,2320.0,0,1,1,35.0,71.0,6.0,18.0,9.0,13.0,26.0,60.0,43.3,0.0,1.0,0.0,11.0,21.0,52.4,12,43,15,7,1,23,11
Lamar,2320,43.3,0.0,52.4,43,12,15,7,1,23,1,23,0,0,0,11,330312320,2013,2,2013-02-01,,63.0,False,26.0,60.0,11.0,21.0,0.0,1.0,Northwestern State,85.0,4.0,away,2466.0,0,0,0,26.0,60.0,0.0,1.0,11.0,21.0,35.0,71.0,49.3,6.0,18.0,33.3,9.0,13.0,69.2,12,41,22,15,7,17,18
