Team 1,Team 2,Date,Site,Outcome,1-ORtg,1-DRtg,1-3PAr,1-TS%,1-TRB%,1-AST%,1-STL%,1-BLK%,1-eFG%,1-TOV%,1-ORB%,1-FTr,1-oeFG%,1-oTOV%,1-oDRB%,1-oFTr,1-Pace,1-o3PAr,2-ORtg,2-DRtg,2-3PAr,2-TS%,2-TRB%,2-AST%,2-STL%,2-BLK%,2-eFG%,2-TOV%,2-ORB%,2-FTr,2-oeFG%,2-oTOV%,2-oDRB%,2-oFTr,2-Pace,2-o3PAr,Game ID
Marist,Saint Peter's,2023-02-10,away,0,94.96204278812974,100.46338564365816,0.4366776315789473,0.5029239766081871,0.4889187374076561,0.4757085020242915,0.0971559490792579,0.1058981233243967,0.4732730263157895,0.1815044858523119,0.2420212765957446,0.2631578947368421,0.4995915032679738,0.1812199617577647,0.7579787234042553,0.2687908496732026,2900.275,0.3905228758169934,94.08357621549372,102.61573167775975,0.3540115798180314,0.4666065148139282,0.521398002853067,0.4805194805194805,0.0991852639036486,0.096,0.4325889164598842,0.1997512391631239,0.3641092327698309,0.2588916459884202,0.493006993006993,0.2006077893991088,0.635890767230169,0.5424575424575424,2687.6,0.3756243756243756,401487029.0
Canisius,Iona,2023-02-10,home,0,98.57488295518856,108.03049468394246,0.4170542635658915,0.5000783003601816,0.4811827956989247,0.5463320463320464,0.0731598919695053,0.0667447306791569,0.4693798449612403,0.1783539983879542,0.2998745294855709,0.2395348837209302,0.5292207792207793,0.1777717001128166,0.7001254705144291,0.3068181818181818,2920.325,0.3068181818181818,107.4632415598903,94.53425712086218,0.3141070187630299,0.5326943458826782,0.4937012597480504,0.5238828967642527,0.1065434949961508,0.1641961231470923,0.5024322446143155,0.1499775343569403,0.3036773428232503,0.2758860319666435,0.46,0.1490377213240954,0.6963226571767497,0.3396226415094339,3237.3250000000003,0.3381132075471698,401487025.0
East Tennessee State,VMI,2023-02-10,home,1,100.1384828435144,103.43331680713932,0.344213649851632,0.5273051369308054,0.5084745762711864,0.4735973597359736,0.0917203767972236,0.0926395939086294,0.5033382789317508,0.1987998153562087,0.2964329643296433,0.3041543026706231,0.5032397408207343,0.2001735250371839,0.7035670356703567,0.2706983441324694,3238.3499999999995,0.4326853851691865,96.79140063040494,114.538869486483,0.4222389181066867,0.5121012571624048,0.5053831538948702,0.43327239488117,0.0730823955503816,0.0432835820895522,0.4849737039819684,0.208841833023519,0.2956521739130435,0.2066115702479339,0.5533728687916976,0.2088992368387013,0.7043478260869566,0.29058561897702,3092.825,0.5033358042994811,401479782.0
Purdue Fort Wayne,Youngstown State,2023-02-10,home,0,101.30119072759464,101.78745531361716,0.4743390357698289,0.5313655651936809,0.5038560411311054,0.4990723562152133,0.092297692557686,0.065190651906519,0.499611197511664,0.1949349404636202,0.2853566958698373,0.2962674961119751,0.5063765941485371,0.1949951251218719,0.7146433041301627,0.2250562640660165,3077.475,0.3900975243810953,115.782814645662,104.18374448998532,0.345,0.5883552084803437,0.5208604954367666,0.5058479532163743,0.1033176088469569,0.0701754385964912,0.5553571428571429,0.164786841739828,0.3179419525065963,0.2921428571428571,0.526410998552822,0.1651844404918413,0.6820580474934037,0.2351664254703328,3236.6500000000005,0.3400868306801736,401470055.0
Cleveland State,Robert Morris,2023-02-10,home,1,105.91241232281476,101.94513392060476,0.2786885245901639,0.528873502689876,0.4905778894472362,0.4820261437908497,0.105773754481595,0.0894206549118387,0.4992548435171386,0.1725063876185981,0.336272040302267,0.3077496274217585,0.4884348496530455,0.1719634658749858,0.663727959697733,0.323053199691596,3077.2000000000003,0.3878180416345412,98.11040648045054,102.5025154987179,0.3655750190403656,0.5172619148899967,0.4964990451941438,0.549469964664311,0.0928300172027654,0.0945790080738177,0.4897182025894897,0.1981572025624889,0.2841051314142678,0.2505712109672505,0.5007722007722007,0.1992924145541887,0.7158948685857321,0.2949806949806949,3089.7250000000004,0.3305019305019305,401470054.0
Dayton,Saint Louis,2023-02-10,home,1,105.59184323721522,94.09141583054628,0.3670382165605095,0.5600811221902992,0.5394088669950738,0.6105442176870748,0.0764452938365981,0.1391812865497076,0.5290605095541401,0.1962721045085231,0.3002754820936639,0.3742038216560509,0.4467095851216023,0.1962095875139353,0.699724517906336,0.2360515021459227,3139.0,0.388412017167382,106.3668792562966,101.75351938750306,0.3377001455604075,0.5466926996523644,0.5299703264094956,0.5859872611464968,0.0679180044455421,0.1043083900226757,0.5152838427947598,0.1723365813734422,0.2959697732997481,0.3078602620087336,0.4713672154617036,0.1722647567300567,0.7040302267002518,0.3264137437365784,3238.5250000000005,0.3686471009305655,401484478.0
Fairfield,Rider,2023-02-10,away,0,96.28524851722106,100.08143745776516,0.3707112970711297,0.4913100421224027,0.4904793171372291,0.4177215189873418,0.0845563391263666,0.0933179723502304,0.4456066945606695,0.1803614165308175,0.2969151670951157,0.3832635983263598,0.4786634460547504,0.1802020342037322,0.7030848329048843,0.2793880837359098,2884.375,0.3011272141706924,104.32747655085213,102.55225776648574,0.2583774250440917,0.5308544759636622,0.5346462436177972,0.4437869822485207,0.0762212726642799,0.066006600660066,0.4902998236331569,0.1864608300149093,0.3414634146341463,0.3112874779541446,0.4868181818181818,0.1901682257381529,0.6585365853658537,0.3690909090909091,2623.525,0.4490909090909091,401487028.0
Fresno State,Nevada,2023-02-10,away,0,97.33053389322134,103.17430713566338,0.3841961852861035,0.5227126288659795,0.4709821428571428,0.5148305084745762,0.0932522660300645,0.1011560693641618,0.4886466848319709,0.1912117576484703,0.2462235649546827,0.2688465031789282,0.4982190560997329,0.1902346227013316,0.7537764350453172,0.3045414069456812,2674.05,0.383793410507569,107.46210962037144,98.4994228549442,0.3869426751592357,0.5596658110624592,0.5035783994795056,0.5673249551166966,0.092984481210722,0.096945551128818,0.5075636942675159,0.1565545122167281,0.2423025435073627,0.392515923566879,0.4876788553259141,0.1558291650634859,0.7576974564926372,0.3370429252782194,3111.575,0.4014308426073132,401482854.0
Stephen F. Austin,Texas-Rio Grande Valley,2023-02-11,away,1,103.89610389610392,100.254316691206,0.2848639455782313,0.559048611360615,0.4945612762871646,0.5311355311355311,0.1238120733502877,0.0734463276836158,0.5204081632653061,0.2170066437418622,0.3178519593613933,0.3860544217687074,0.5199468085106383,0.2175076964261812,0.6821480406386067,0.4184397163120567,2991.85,0.3723404255319149,99.4429857179717,107.92847451942866,0.341887417218543,0.5533129528603037,0.506418485237484,0.5545454545454546,0.0609765392765133,0.0814901047729918,0.5132450331125827,0.2319122133349523,0.2851458885941644,0.4743377483443708,0.5177514792899408,0.232930380036281,0.7148541114058355,0.3705621301775147,3287.15,0.3646449704142012,401481131.0
South Carolina Upstate,Winthrop,2023-02-11,away,1,97.6342220294304,104.73682456081872,0.3423959218351741,0.5384813574294233,0.4627177700348432,0.4601113172541744,0.1046701556718557,0.1334214002642008,0.516142735768904,0.2115519370015682,0.2535816618911174,0.324553950722175,0.5004194630872483,0.2113403780126004,0.7464183381088825,0.4379194630872483,2998.4,0.3649328859060403,105.3038144823644,111.29306349451568,0.451797385620915,0.5842920088466748,0.4705111402359109,0.497335701598579,0.0778618878418044,0.0869565217391304,0.5449346405228758,0.2169110263105041,0.2645429362880886,0.4027777777777778,0.5462034383954155,0.216900973273598,0.7354570637119113,0.3080229226361031,3236.425,0.3739255014326647,401480434.0
Pepperdine,San Francisco,2023-02-11,away,0,101.83164350636793,107.05596107055962,0.3596026490066225,0.5411515987902634,0.4820224719101124,0.5007320644216691,0.0779694757796947,0.0964912280701754,0.5149006622516556,0.1850982125590518,0.2599771949828962,0.2688741721854304,0.5150130548302873,0.1852466268524663,0.7400228050171037,0.3289817232375979,3618.25,0.3302872062663185,104.86628197678348,101.56951282539512,0.4889484259879437,0.5665970589523796,0.5132336018411968,0.4977511244377811,0.0930283165138862,0.0645812310797174,0.5348292029470864,0.2021648941201907,0.2786304604486422,0.3087742799732083,0.4868775235531628,0.2034654407964529,0.7213695395513577,0.3728129205921938,3688.125,0.3331090174966352,401470452.0
Lipscomb,North Alabama,2023-02-11,away,0,105.01208298025924,101.09924378264598,0.3819806403574088,0.5606004758234762,0.5142314990512334,0.4768740031897927,0.0711000233881656,0.0714285714285714,0.533879374534624,0.1845400621410413,0.2604588394062078,0.2338049143708116,0.4900497512437811,0.1833632182115849,0.7395411605937922,0.2309879175550817,3196.525,0.3830845771144278,104.2075362136882,110.63615790797084,0.3288389513108614,0.5407254189807652,0.4879441624365482,0.4095394736842105,0.0779482021624339,0.0821428571428571,0.5146067415730337,0.1581945730472857,0.2449494949494949,0.3153558052434457,0.537147102526003,0.15841086245914,0.7550505050505051,0.3328380386329866,3183.775,0.37592867756315,401469616.0
Tennessee State,Tennessee Tech,2023-02-11,home,1,102.99318009598385,103.55291440131496,0.4123076923076923,0.5377159435579586,0.4847715736040609,0.5079928952042628,0.0821848526994563,0.0822085889570552,0.5065384615384615,0.1755493811568578,0.2604938271604938,0.3507692307692308,0.5035488958990536,0.1757491465419143,0.7395061728395061,0.3848580441640378,3165.4,0.3572555205047318,100.68039862990344,106.00554357868803,0.4183055975794251,0.540603518583246,0.4654320987654321,0.5451388888888888,0.0874653526331998,0.0620525059665871,0.5132375189107413,0.1866059112537003,0.2360248447204969,0.2866868381240545,0.5187677053824362,0.1854019094548814,0.7639751552795031,0.2407932011331444,3236.525,0.4065155807365439,401470153.0
Indiana,Michigan,2023-02-11,away,1,111.214588277706,97.30967372638808,0.283072546230441,0.5754344514564617,0.5314559616536848,0.5464949928469242,0.0843551351188503,0.1473565804274465,0.5512091038406828,0.1742421966533481,0.3019354838709677,0.3029871977240398,0.4707540521494009,0.1747356370319042,0.6980645161290323,0.2917547568710359,3324.0000000000005,0.3735024665257223,107.51876293018832,101.1042202389956,0.3764044943820224,0.5451677615963002,0.4991364421416235,0.4883359253499222,0.0707911057328694,0.1134903640256959,0.5179073033707865,0.1413448905936183,0.2505938242280285,0.3082865168539326,0.4852739726027397,0.1415822114657388,0.7494061757719715,0.2534246575342466,3308.2750000000005,0.3602739726027397,401484945.0
Drexel,Towson,2023-02-11,home,1,101.5539364240119,97.04111529669342,0.4124629080118694,0.5177855217305543,0.506150061500615,0.5,0.0869313242538395,0.080338266384778,0.4936943620178041,0.1753820362370237,0.2933333333333333,0.2700296735905044,0.4775280898876404,0.1751505199781062,0.7066666666666667,0.2411985018726591,3103.8499999999995,0.2913857677902621,107.87671232876713,100.69955817378498,0.3393103448275862,0.5328661188980184,0.5397196261682243,0.5453125,0.0951153657339224,0.1086419753086419,0.5024137931034482,0.1804060665362035,0.3612385321100917,0.2979310344827586,0.4927745664739884,0.1810260186548846,0.6387614678899083,0.2716763005780346,3264.8,0.4147398843930636,401469939.0
Davidson,Fordham,2023-02-11,home,0,103.87330126066652,104.59269192088504,0.3586497890295358,0.5442101777238106,0.4737598849748382,0.5271028037383177,0.0832789314889637,0.040506329113924,0.5092827004219409,0.1657477964673245,0.2478260869565217,0.3088607594936708,0.5111111111111111,0.1665578629779275,0.7521739130434782,0.2823045267489712,2840.775,0.3497942386831276,104.06204407586576,94.85082469045554,0.4088482074752098,0.546143306198114,0.5264797507788161,0.5300353356890459,0.1084357533391206,0.1256952169076751,0.4992372234935164,0.1947323965292175,0.3,0.3852021357742181,0.4720306513409961,0.1931131112837149,0.7,0.3363984674329502,3269.4,0.3111111111111111,401484480.0
Lamar,Texas A&M-Corpus Christi,2023-02-11,away,0,96.02866964089812,110.3698332124728,0.294838145231846,0.5017962241076206,0.4976043805612594,0.5341614906832298,0.0870195794053662,0.1041666666666666,0.4689413823272091,0.2172164119066774,0.3305555555555555,0.3044619422572178,0.5253682487725041,0.2153734590282813,0.6694444444444444,0.2945990180032733,2746.3,0.4500818330605565,108.54377590962392,103.06064926882648,0.36875,0.5529473135106938,0.5144429160935351,0.5504424778761062,0.1207016613058328,0.0416047548291233,0.508203125,0.1810164004822699,0.3232588699080158,0.33828125,0.5393700787401575,0.18171568789999,0.6767411300919842,0.4251968503937008,3021.525,0.4111986001749781,401485435.0
Baylor,TCU,2023-02-11,away,1,114.52046136830464,101.69760180063084,0.4399410464259395,0.5665155541660153,0.5333333333333333,0.5665024630541872,0.1008099668721964,0.0713375796178343,0.5261606484893147,0.1706430715752883,0.3632911392405063,0.3758290346352247,0.5129107981220657,0.1711867361980694,0.6367088607594936,0.3215962441314554,3159.4749999999995,0.3857589984350548,105.52404701446014,93.55660720786312,0.2898341744772891,0.5351057103643962,0.5058750773036488,0.5694006309148265,0.1213444970270598,0.1251396648044692,0.4989185291997116,0.1733392126750498,0.3238566131025958,0.3554434030281182,0.4746079163554891,0.1729159082635602,0.6761433868974042,0.292755787901419,3292.375,0.3315907393577296,401493432.0
Loyola Marymount,Santa Clara,2023-02-11,away,0,106.98484286244398,103.2961699333343,0.4264202600958248,0.5588524736826409,0.5213825424721734,0.4343283582089552,0.0765156814320994,0.0789743589743589,0.5376454483230664,0.183255787400451,0.2907801418439716,0.3107460643394935,0.5,0.1832950279082383,0.7092198581560284,0.3363136176066025,3502.925,0.3294360385144429,106.62933146657332,102.63135865167284,0.3696651346027577,0.5444277646722425,0.5408911449520587,0.4897058823529411,0.0859446940313084,0.0911039657020364,0.5137885751805646,0.1803290164508225,0.3213077790304396,0.3118844386080105,0.5176817288801572,0.179702542065463,0.6786922209695603,0.2396856581532416,3577.4750000000004,0.3889980353634578,401470451.0
