<<<<<<< HEAD
Name,Game,Opponent,Site,Outcome,Date,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr,Game ID
Pacific,11,Fresno State,home,1,2022-12-10,106.93431808856482,107.82875007975498,0.36199095022624433,0.5528179355807199,0.4694408322496749,0.36789297658862874,0.07911695272124034,0.07772020725388601,0.5188536953242836,0.1603383517974939,0.26098191214470284,0.3273001508295626,0.5417981072555205,0.16206214509028263,0.7390180878552972,0.40063091482649843,1575.7250000000004,0.3911671924290221,401489040.0
Pacific,12,San Jose State,home,1,2022-12-17,106.60391234005,107.12061449034667,0.36694677871148457,0.5518501598903609,0.46311970979443773,0.391304347826087,0.08303923603902842,0.0748792270531401,0.5203081232492998,0.1576702456243565,0.2517985611510791,0.31512605042016806,0.5439882697947214,0.15896082327471156,0.7482014388489209,0.38269794721407624,1692.8500000000004,0.39296187683284456,401489043.0
Pacific,13,Lamar,away,1,2022-12-20,106.51016193891967,106.28602799890199,0.377431906614786,0.5548635488619635,0.46452328159645234,0.41714285714285715,0.08015371946198187,0.08061002178649238,0.5252918287937743,0.16519943484403868,0.2561247216035635,0.30609597924773024,0.5337837837837838,0.16689541586604445,0.7438752783964365,0.3918918918918919,1830.8500000000004,0.37972972972972974,401489044.0
Pacific,14,Brigham Young,home,0,2022-12-29,103.9761531854696,105.61963690066965,0.37968561064087064,0.5429219648604443,0.45901639344262296,0.42391304347826086,0.08148091564178951,0.08024691358024691,0.5151148730350665,0.1677360683069772,0.2515212981744422,0.30713422007255137,0.5334595959595959,0.16907289995671324,0.7484787018255578,0.38762626262626265,1971.4750000000004,0.38636363636363635,401470390.0
Pacific,15,Loyola Marymount,home,1,2022-12-31,104.03646445185845,104.94440501537731,0.3731513083048919,0.5474506700954453,0.4625,0.4263959390862944,0.08138159451147384,0.08604206500956023,0.5170648464163823,0.1729242046896292,0.2519230769230769,0.3162684869169511,0.5275175644028103,0.17411876035013008,0.7480769230769231,0.3864168618266979,2120.8,0.3875878220140515,401470397.0
Pacific,16,San Diego,away,1,2023-01-05,104.56311318891156,105.27246210279753,0.3706070287539936,0.5508660761777017,0.46630727762803237,0.43058823529411766,0.07955097891899057,0.08465608465608465,0.5218317358892439,0.1720769956761265,0.24954792043399637,0.3184238551650692,0.5260021668472372,0.17324435409024613,0.7504520795660036,0.37486457204767065,2270.375,0.3856988082340195,401470400.0
Pacific,17,Pepperdine,away,1,2023-01-07,104.56817293650629,104.70381474206552,0.374,0.5514219397383892,0.46560402684563756,0.423841059602649,0.08022330197456837,0.08333333333333333,0.523,0.17194923795224087,0.2470389170896785,0.321,0.5203045685279187,0.17285226920293598,0.7529610829103215,0.38071065989847713,2424.6000000000004,0.3786802030456853,401470407.0
Pacific,18,Santa Clara,home,0,2023-01-14,104.69258169428525,105.71178359443417,0.3747645951035782,0.5516566019259017,0.4589257503949447,0.42916666666666664,0.08251435243748174,0.08575803981623277,0.5225988700564972,0.16958339786278456,0.24247226624405704,0.3239171374764595,0.5218216318785579,0.17047776588498587,0.757527733755943,0.3747628083491461,2576.0250000000005,0.38045540796963945,401470415.0
Pacific,19,San Francisco,away,0,2023-01-19,103.53822978285629,106.09726814311308,0.37377341659232827,0.5440784646870295,0.45808383233532934,0.42971887550200805,0.08274995844031104,0.08454810495626822,0.5133809099018734,0.16901201454972994,0.2433234421364985,0.3264942016057092,0.5283783783783784,0.1699329503684959,0.7566765578635015,0.36126126126126124,2714.3250000000003,0.38198198198198197,401470421.0
Pacific,20,Gonzaga,home,0,2023-01-21,104.47631161680403,107.47418169088043,0.37077702702702703,0.5475699073989516,0.45526127415891193,0.42992424242424243,0.08121827411167512,0.07945205479452055,0.5152027027027027,0.16448572075761006,0.24045261669024046,0.3285472972972973,0.5341005967604433,0.16523717836513213,0.7595473833097596,0.36658141517476556,2863.0250000000005,0.3776641091219096,401470423.0
Pacific,21,Santa Clara,away,1,2023-01-28,105.36404798889511,107.75483121837934,0.37720706260032105,0.5539145845640616,0.4554794520547945,0.4474153297682709,0.07962179646678277,0.08083441981747067,0.5228731942215088,0.1639290081634002,0.23577235772357724,0.3258426966292135,0.5363783346806791,0.16455171269801772,0.7642276422764228,0.36782538399353276,3019.9750000000004,0.3799514955537591,401470432.0
Pacific,22,Pepperdine,home,1,2023-02-02,105.68656834135182,107.342220535446,0.37405159332321697,0.5510321572497738,0.4561972744970798,0.44839255499153974,0.08159779875705678,0.0782608695652174,0.5197268588770865,0.1596340405394747,0.2394904458598726,0.3224582701062215,0.5353574173712529,0.16003289213593305,0.7605095541401274,0.35588009223674094,3165.8,0.38124519600307455,401470436.0
Pacific,23,Brigham Young,away,0,2023-02-04,105.17889776623217,107.64340850612986,0.37518248175182484,0.5498097298321517,0.4588235294117647,0.4500818330605565,0.07930982291509005,0.07491082045184304,0.5167883211678832,0.16371901949827064,0.24327628361858192,0.3277372262773723,0.5344574780058651,0.16406841228999544,0.7567237163814181,0.3592375366568915,3307.0250000000005,0.38343108504398826,401470438.0
Pacific,24,Portland,away,0,2023-02-09,104.98444621283367,107.8963405786587,0.37988826815642457,0.5487408303713227,0.45890005913660553,0.45440251572327045,0.07835398589628252,0.07398843930635839,0.5157122905027933,0.16204875931418647,0.23948598130841123,0.32472067039106145,0.5338028169014084,0.16251197074784524,0.7605140186915887,0.3676056338028169,3450.8250000000007,0.3908450704225352,401470446.0
